,index,cluster,silhouette,name
114,289,0,-0.15782774788864248,"['diabetes mellitus', 'respiratory syncytial virus infectious disease', 'deficiency anemia', 'hypothyroidism']"
115,232,0,-0.16211782593826618,"['diabetes mellitus', 'obsolete impaired renal function disease', 'systemic lupus erythematosus', 'respiratory syncytial virus infectious disease']"
116,270,0,-0.16866945927237478,"['diabetes mellitus', 'major depressive disorder', 'respiratory syncytial virus infectious disease']"
117,157,0,-0.17334419325592962,"['chronic obstructive pulmonary disease', 'hypertension', 'respiratory syncytial virus infectious disease', 'nicotine dependence']"
118,53,0,-0.17484981199448604,"[""Alzheimer's disease""]"
119,272,0,-0.17553589783867546,"['systemic lupus erythematosus', 'immune system disease']"
120,269,0,-0.1774676374849768,['bacterial pneumonia']
121,260,0,-0.17794646708306477,"['diabetes mellitus', 'prostate cancer', 'respiratory syncytial virus infectious disease']"
122,401,0,-0.1802127134004358,"['epilepsy', 'respiratory syncytial virus infectious disease']"
123,284,0,-0.18408348374739444,"['alcohol use disorder', 'respiratory syncytial virus infectious disease', 'nicotine dependence']"
124,462,0,-0.18486103705868948,"['obsolete impaired renal function disease', 'urinary bladder cancer', 'generalized anxiety disorder', 'herpes zoster', 'respiratory syncytial virus infectious disease']"
125,299,0,-0.18825822800428366,['amyloidosis']
126,171,0,-0.1908800643358686,"['myeloproliferative neoplasm', 'obsolete impaired renal function disease', 'gout', 'respiratory syncytial virus infectious disease']"
127,264,0,-0.19105934078421985,"['diabetes mellitus', 'cancer']"
128,367,0,-0.19107361471800152,"['lipid metabolism disorder', 'hypertension', 'respiratory syncytial virus infectious disease']"
129,40,0,-0.1913770666536489,"['chronic obstructive pulmonary disease', 'respiratory syncytial virus infectious disease']"
130,357,0,-0.19722733430505596,"['diabetes mellitus', 'obesity', 'respiratory syncytial virus infectious disease', 'hypothyroidism']"
131,258,0,-0.1974423982149823,"['diabetes mellitus', 'brain disease', 'uterine cancer', 'respiratory syncytial virus infectious disease']"
132,274,0,-0.19901430350026905,"['diabetes mellitus', 'intestinal cancer', 'respiratory syncytial virus infectious disease']"
133,195,0,-0.202830701141923,"['diabetes mellitus', 'chronic obstructive pulmonary disease', 'respiratory syncytial virus infectious disease', 'congestive heart failure']"
