,0
293,"['850', '10763', '9970']"
294,"['9351', '936', '1307', '1273']"
295,"['9970', '1273', '289']"
296,"['409', '526', '10763', '2914', '9970', '1273', '1459', '2841']"
297,"['1273', '0050557']"
298,"['9351', '10763', '1273', '1459', '6000']"
299,['9120']
300,['1793']
301,"['2598', '1273']"
302,"['10763', '1468', '1273']"
303,['5082']
304,"['9351', '9452', '9970', '1273']"
305,"['2883', '1273']"
306,"['9351', '3021', '9970', '1273']"
307,"['9351', '2883', '1470', '1273']"
308,['2998']
309,"['11705', '74', '0050908', '1459']"
310,"['5082', '219', '1273']"
311,"['3083', '10763', '1273', '12930']"
312,"['9351', '11705', '6713', '1273']"
313,"['409', '2883', '1273', '10211']"
314,"['9351', '850', '9970', '1273', '0050742']"
315,"['9351', '5419', '936', '1273']"
316,"['74', '0060058']"
317,"['1686', '1273']"
318,"['14250', '9970']"
319,"['850', '1574', '1273', '6000', '0050742']"
320,"['9351', '850', '1574', '11787', '1273']"
321,"['9351', '10283', '9970', '1273']"
322,"['9351', '850', '1273', '2841']"
323,"['850', '1324', '1273']"
324,"['7148', '9970', '1273']"
325,['1826']
326,"['936', '74']"
327,"['219', '1273']"
328,"['1993', '2914', '1273']"
329,"['936', '10763']"
330,"['6713', '10763', '10652']"
331,"['1273', '686']"
332,['2883']
333,"['10763', '1273', '5041']"
334,"['3393', '1727']"
335,"['9351', '8557', '1273']"
336,"['8398', '1273', '1459']"
337,"['11705', '10763']"
338,"['9351', '1470', '10763']"
339,['3312']
340,"['1273', '162']"
341,['2452']
342,"['3083', '1273', '0050742']"
343,"['9351', '3083', '2596', '10763', '1273']"
344,"['0050853', '1273', '1459']"
345,"['9351', '3146', '1470', '1273']"
346,"['10763', '1273', '6000']"
347,"['1574', '399', '526', '0050742']"
348,"['9351', '11705', '74', '1273']"
349,"['936', '2914']"
350,"['1273', '12930']"
351,"['936', '1459']"
352,['0050742']
353,"['12143', '1273', '7475']"
354,"['9351', '1273', '1579']"
355,"['9351', '1470', '9970', '1273']"
356,"['1574', '3021', '1273']"
357,"['9351', '9970', '1273', '1459']"
358,"['4483', '0050127']"
359,"['936', '6713', '14250', '1273']"
360,"['936', '850']"
361,"['6132', '850', '1273']"
362,"['631', '850', '9970', '1273', '13121', '1459']"
363,"['9351', '1612', '10763', '1273']"
364,"['9351', '6713', '850', '1273']"
365,"['9351', '1273', '2742']"
366,"['11476', '1273']"
367,"['3146', '10763', '1273']"
368,"['936', '7148', '0060060', '1273']"
369,"['4029', '10763', '1273']"
370,"['11705', '10763', '9970', '1273']"
371,"['9351', '6713', '9970', '1273', '1459']"
372,"['850', '9970']"
373,"['936', '10763', '1273', '10652']"
374,"['5419', '936']"
375,"['8893', '4159', '2914']"
376,"['9351', '5419', '10763']"
377,"['9351', '10241']"
378,"['5082', '112']"
379,"['9351', '0050853', '1273', '12930']"
380,"['6132', '9970']"
381,"['9351', '76', '1273']"
382,"['9675', '1273', '10652']"
383,"['9351', '10763', '9970', '1273', '6000']"
384,"['11054', '2914', '1273']"
385,"['850', '7148', '1273']"
386,"['9351', '3083', '3146', '1273', '1459']"
387,"['9351', '2468', '409', '9970']"
388,['7998']
389,"['10155', '11705']"
390,"['11705', '2914']"
391,"['10763', '1273', '2841']"
392,"['4362', '3021', '1273']"
393,"['1273', '1793']"
394,"['5916', '1273']"
395,"['10763', '6000']"
396,"['9351', '6713', '10763', '1273', '0050742']"
397,"['3312', '9970', '1273', '1459']"
398,"['9351', '9452', '409', '1273']"
399,"['936', '1307', '10763', '1273']"
400,"['1324', '184']"
401,"['1826', '1273']"
402,['10908']
403,"['9351', '11705', '14330', '1273']"
404,['2913']
405,"['9351', '409', '1273', '1459']"
406,"['9351', '5082', '409', '2841']"
407,"['90', '9970', '1273']"
408,"['9351', '10763', '1459']"
409,"['936', '6713', '10763', '1273']"
410,"['1273', '1319']"
411,['631']
412,"['850', '3083', '10763', '1273', '6000']"
413,"['936', '11705', '10763', '1273']"
414,"['3982', '1273']"
415,"['9351', '11705', '3393', '1273']"
416,"['10763', '2914', '1273']"
417,"['9351', '13413', '409', '1307', '1273']"
418,"['936', '1307']"
419,"['0060082', '2914']"
420,"['9351', '1273', '10791']"
421,"['2468', '14320']"
422,"['9351', '1307', '1273']"
423,"['9351', '936', '1826', '10763']"
424,"['9351', '6713', '9408', '1273']"
425,"['9351', '8778', '1273', '0050742']"
426,"['10763', '10652']"
427,"['9351', '219', '1273']"
428,"['9351', '6713', '10763', '1273']"
429,"['10763', '1273', '162']"
430,"['9351', '11705', '1273', '6000']"
431,"['936', '11705', '1273']"
432,"['0060060', '1273']"
433,"['9477', '10763', '1273']"
434,"['9351', '11705', '6713', '1273', '13121']"
435,['8689']
436,['8857']
437,"['850', '10763', '1273', '2841']"
438,"['9351', '3393']"
439,"['76', '1273']"
440,"['2452', '2841']"
441,"['9351', '14330', '1273', '2841']"
442,"['9351', '9743', '1273']"
443,"['850', '1273', '13121']"
444,"['850', '9675', '1273']"
445,['0050745']
446,"['10763', '0060072']"
447,"['14330', '6000']"
448,"['437', '10763']"
449,"['0050908', '1273', '1459']"
450,"['9351', '11705', '850', '9970', '1273', '1459', '2841']"
451,"['936', '2914', '1273']"
452,"['10283', '10763', '1273']"
